Date,Item,Quantity,Customer
7/26/2021,1001092950P136,1,Customer 1
7/26/2021,1220081P011,1,Customer 1
7/26/2021,1220081P011,1,Customer 1
7/26/2021,1220029,2,Customer 1
7/26/2021,1220029,2,Customer 1
7/26/2021,1220081P011,1,Customer 1
7/23/2021,7D-300611-2,75,Customer 5
7/23/2021,7D-302283,100,Customer 5
7/23/2021,7D-302284,55,Customer 5
7/23/2021,7D-302285,200,Customer 5
7/23/2021,7D-302659,80,Customer 5
7/23/2021,7D-302661,125,Customer 5
7/23/2021,7D-303068,100,Customer 5
7/23/2021,7D-401998,55,Customer 5
7/23/2021,7D-402090,200,Customer 5
7/23/2021,7D-402105,120,Customer 5
7/26/2021,1220029P032,3,Customer 1
7/26/2021,1001080861,9,Customer 1
7/26/2021,1001092950,1,Customer 1
7/26/2021,1001092950,3,Customer 1
7/26/2021,1220108,1,Customer 1
7/26/2021,1220108,2,Customer 1
7/26/2021,1220108,1,Customer 1
7/26/2021,1001213323J,1,Customer 1
7/26/2021,1001213324J,1,Customer 1
7/26/2021,1220097,3,Customer 1
7/26/2021,1001208664,12,Customer 1
7/26/2021,1001094787P032,4,Customer 1
7/26/2021,1001266705,1,Customer 1
7/26/2021,1001208663,1,Customer 1
7/20/2021,26G00005,15,Customer 6
7/20/2021,26G00006,15,Customer 6
7/20/2021,26G00005,10,Customer 6
7/20/2021,26G00006,10,Customer 6
7/20/2021,26G00007,4,Customer 6
7/20/2021,26G00008,4,Customer 6
7/20/2021,26G00007,4,Customer 6
7/20/2021,26G00008,4,Customer 6
7/22/2021,2365374-30-27EC,150,Customer 5
7/22/2021,2365374-31-02EC,50,Customer 5
7/22/2021,7D-11-267,80,Customer 5
7/22/2021,7D-11-296,70,Customer 5
7/22/2021,7D-11-325,30,Customer 5
7/22/2021,7D-11-325,90,Customer 5
7/16/2021,1001166096,32,Customer 1
7/22/2021,7D-208021EP,300,Customer 5
7/22/2021,7D-208021EP,150,Customer 5
